"Transaction unique identifier","Price","Date of Transfer","Property Type","Old/New","Duration","Town/City","District","County","PPDCategory Type","Record Status - monthly file only"
"{50F18103-D590-9FD5-E050-A8C063054923}","260000","2017-02-23 00:00","S","N","F","CHRISTCHURCH","CHRISTCHURCH","DORSET","B","A"
"{50F18103-D591-9FD5-E050-A8C063054923}","800000","2017-02-13 00:00","O","N","F","CHRISTCHURCH","CHRISTCHURCH","DORSET","B","A"
"{50F18103-D593-9FD5-E050-A8C063054923}","150000","2017-02-20 00:00","F","N","L","WEYMOUTH","WEYMOUTH AND PORTLAND","DORSET","B","A"
"{50F18103-D594-9FD5-E050-A8C063054923}","195000","2017-02-17 00:00","D","N","F","POOLE","POOLE","POOLE","B","A"
"{50F18103-D595-9FD5-E050-A8C063054923}","44352","2017-03-10 00:00","O","N","F","LYME REGIS","WEST DORSET","DORSET","B","A"
"{50F18103-D596-9FD5-E050-A8C063054923}","112500","2017-03-24 00:00","O","N","L","WEYMOUTH","WEYMOUTH AND PORTLAND","DORSET","B","A"
"{50F18103-D597-9FD5-E050-A8C063054923}","450000","2017-03-27 00:00","O","N","F","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","B","A"
"{50F18103-D598-9FD5-E050-A8C063054923}","231102","2017-02-28 00:00","F","Y","L","POOLE","POOLE","POOLE","B","A"
"{4E95D757-1BFF-EDA1-E050-A8C0630539E2}","1460000","2017-03-15 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1C02-EDA1-E050-A8C0630539E2}","545000","2017-04-07 00:00","T","N","F","BUCKHURST HILL","REDBRIDGE","GREATER LONDON","A","A"
"{4E95D757-1C04-EDA1-E050-A8C0630539E2}","900000","2017-03-28 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1C06-EDA1-E050-A8C0630539E2}","1630000","2017-03-31 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1C07-EDA1-E050-A8C0630539E2}","449950","2017-03-31 00:00","S","N","F","HORNCHURCH","HAVERING","GREATER LONDON","A","A"
